iter	Logloss
0	0.6694163388
1	0.6521437944
2	0.6324861647
3	0.6130315006
4	0.5950794787
5	0.5780526021
6	0.5631731825
7	0.5492903697
8	0.5385902372
9	0.5262215401
10	0.5144847741
11	0.5050311895
12	0.4949644209
13	0.484712492
14	0.4756019366
15	0.4677624317
16	0.4620998388
17	0.4547310184
18	0.4470444741
19	0.4410904419
20	0.4356418688
21	0.4310528269
22	0.4267138736
23	0.4223803946
24	0.4185811585
25	0.4140630591
26	0.4109671884
27	0.4067380377
28	0.403656722
29	0.4005776188
30	0.3973476491
31	0.3935049434
32	0.3913526081
33	0.3888469958
34	0.3866471521
35	0.3834962643
36	0.380577936
37	0.3781144451
38	0.3766945978
39	0.3744935877
40	0.3721895952
41	0.3707432245
42	0.3687952781
43	0.3669995297
44	0.3665736399
45	0.3651931521
46	0.3640066782
47	0.3622959408
48	0.3608954935
49	0.3597763357
50	0.3584405128
51	0.357426386
52	0.3565294743
53	0.3555077148
54	0.3542353443
55	0.3531759119
56	0.3522728026
57	0.3515202069
58	0.3506318238
59	0.3495940114
60	0.3488733718
61	0.3479841091
62	0.347282806
63	0.3464943073
64	0.3457754157
65	0.345005451
66	0.3449077101
67	0.3441327828
68	0.3434505723
69	0.3432980287
70	0.3424573969
71	0.3417013808
72	0.3412865614
73	0.3407429659
74	0.3403620012
75	0.3398106285
76	0.3395168987
77	0.3390473026
78	0.3383390873
79	0.3379370534
80	0.3375118744
81	0.3369949062
82	0.3365892215
83	0.3362549576
84	0.3357615675
85	0.3354287209
86	0.3350892762
87	0.3347403651
88	0.3344733607
89	0.334152121
90	0.3336845066
91	0.3333520017
92	0.3329923094
93	0.3325708646
94	0.3323110985
95	0.3319871917
96	0.3316686945
97	0.3313569452
98	0.3310159969
99	0.3307776634
100	0.3304266748
101	0.3302464963
102	0.3300888112
103	0.3297700004
104	0.3294837615
105	0.3290312897
106	0.3288275984
107	0.3285676447
108	0.3282932105
109	0.3279269206
110	0.3278962059
111	0.3276586525
112	0.3274614464
113	0.3271373774
114	0.3268171791
115	0.3266031139
116	0.326359388
117	0.3261876033
118	0.3258669334
119	0.3257403839
120	0.3255457183
121	0.3253589009
122	0.3250877553
123	0.3248205784
124	0.3247456541
125	0.3245410385
126	0.3243988694
127	0.3242049574
128	0.3240012085
129	0.3238291958
130	0.323762025
131	0.3235785537
132	0.3233735627
133	0.3231842164
134	0.323002501
135	0.3228319539
136	0.3226492633
137	0.3224102618
138	0.322303191
139	0.3221284533
140	0.3217911846
141	0.3217485632
142	0.3215805199
143	0.3214441392
144	0.3213336317
145	0.3211072685
146	0.3209974479
147	0.3207791617
148	0.320715817
149	0.3205443172
150	0.3203472564
151	0.3201564207
152	0.3200245803
153	0.3198834729
154	0.3197172541
155	0.3195058941
156	0.3193467563
157	0.3191515723
158	0.3190071775
159	0.3189551106
160	0.3187108006
161	0.3186296111
162	0.3184798229
163	0.3183095429
164	0.3181317459
165	0.3180576205
166	0.3179725754
167	0.3176784769
168	0.3174637386
169	0.3172646198
170	0.3170732187
171	0.3168541693
172	0.3167857824
173	0.316597412
174	0.3165188156
175	0.3163814241
176	0.3162381741
177	0.3160706517
178	0.3160093449
179	0.3158170429
180	0.3158170426
181	0.3156586937
182	0.3154819051
183	0.3153855169
184	0.3152306658
185	0.3151181581
186	0.3150128829
187	0.314925748
188	0.3148361288
189	0.3147165841
190	0.3145571033
191	0.314424552
192	0.3143551303
193	0.3141908011
194	0.3140617501
195	0.313863731
196	0.3136907922
197	0.3135583499
198	0.3134210396
199	0.3132842137
200	0.3132096036
201	0.3131227818
202	0.3130412997
