iter	Passed	Remaining
0	3	3386
1	6	3125
2	9	3092
3	12	3096
4	15	3164
5	19	3199
6	22	3141
7	25	3109
8	28	3108
9	31	3134
10	34	3124
11	37	3104
12	40	3092
13	43	3077
14	46	3067
15	50	3079
16	52	3051
17	55	3054
18	59	3050
19	63	3091
20	66	3081
21	69	3073
22	72	3070
23	75	3056
24	78	3069
25	83	3115
26	86	3134
27	89	3124
28	92	3110
29	95	3102
30	98	3090
31	101	3082
32	105	3093
33	109	3108
34	113	3117
35	116	3115
36	119	3106
37	122	3103
38	126	3106
39	129	3097
40	132	3090
41	135	3089
42	139	3094
43	142	3091
44	144	3060
45	147	3051
46	150	3042
47	152	3032
48	155	3027
49	158	3019
50	162	3014
51	165	3011
52	168	3008
53	171	3000
54	175	3011
55	178	3007
56	181	3000
57	184	2994
58	187	2985
59	190	2981
60	193	2976
61	196	2974
62	200	2977
63	203	2971
64	206	2966
65	209	2969
66	211	2946
67	214	2943
68	217	2940
69	220	2933
70	223	2926
71	226	2918
72	229	2911
73	232	2913
74	235	2910
75	238	2904
76	241	2898
77	244	2895
78	247	2891
79	251	2891
80	254	2885
81	257	2888
82	260	2883
83	264	2878
84	267	2874
85	270	2879
86	273	2874
87	277	2878
88	281	2881
89	284	2878
90	287	2872
91	290	2867
92	293	2861
93	296	2855
94	299	2854
95	302	2853
96	306	2849
97	309	2844
98	312	2841
99	315	2836
100	318	2833
101	321	2831
102	325	2833
103	328	2829
104	331	2824
105	334	2824
106	337	2820
107	341	2817
108	344	2814
109	347	2809
110	349	2798
111	352	2793
112	355	2789
113	358	2786
114	362	2786
115	364	2781
116	369	2785
117	372	2783
118	375	2780
119	378	2776
120	381	2771
121	385	2774
122	388	2771
123	392	2771
124	394	2763
125	397	2757
126	400	2756
127	403	2751
128	407	2752
129	410	2749
130	414	2750
131	417	2746
132	420	2742
133	423	2737
134	426	2731
135	429	2728
136	432	2724
137	435	2720
138	438	2716
139	441	2712
140	444	2708
141	447	2701
142	450	2702
143	454	2701
144	458	2702
145	461	2699
146	464	2695
147	468	2695
148	472	2695
149	475	2693
150	478	2691
151	481	2688
152	486	2690
153	488	2685
154	491	2681
155	495	2678
156	498	2677
157	501	2673
158	504	2668
159	507	2664
160	511	2667
161	516	2669
162	518	2664
163	521	2660
164	524	2656
165	527	2652
166	532	2655
167	536	2654
168	539	2651
169	542	2647
170	545	2643
171	549	2643
172	552	2639
173	555	2635
174	558	2632
175	561	2629
176	564	2624
177	568	2624
178	571	2620
179	574	2617
180	576	2607
181	578	2602
182	582	2600
183	585	2596
184	588	2593
185	591	2590
186	595	2587
187	598	2582
188	601	2580
189	604	2577
190	608	2576
191	611	2572
192	614	2569
193	617	2564
194	620	2560
195	623	2556
196	626	2551
197	629	2548
198	632	2544
199	635	2541
200	639	2541
201	642	2537
202	645	2533
203	648	2529
